Title,Description,Footer
How do I request treatment for a new health concern?,"Before requesting treatment, you may need a GP referral.

[Check if you need a GP referral](app://faqDetails/028140FBE19D45EF9591E64A30ECE6FE)

### Already got a referral? ###
Follow these steps to request treatment.

1. Choose ‘Pre-authorisations’ on your My Bupa home screen. 
2. Where it says ‘Do I need a pre-auth’, there’s the option to request treatment.
3. Complete the request form and we'll email you within 24 hours. You'll get a pre-authorisation number or we'll explain why you're not covered.",
Do I need to speak to a GP before getting treatment?,"Not always.

### Some health concerns don’t need a GP referral. ###

If your concern is listed, select it to see next steps.","### Any other health concerns ###
You'll need to speak to a GP about your symptoms so they can decide what type of specialist or tests you need next."
Next steps for cancer worries,"### If you’re 18 or over ###
Please call us on [0800 012 1305](phone://08000121305).

We’ll talk through your symptoms and advise you on next steps.

We’re available Monday to Friday 8am to 8pm, Saturday 8am to 4pm. We may record or monitor our phone calls.

### If you need help for a child ### 
Please book a digital GP appointment. They’ll be able to talk through any worries and refer your child to a cancer specialist if needed.",
"Next steps for muscles, bones and joints","Please call us on [0345 600 8277](phone://03456008277).

We’ll talk through your symptoms and advise you on next steps, such as a phone or video call with a physio.

We’re available Monday to Friday 8am to 8pm, Saturday 8am to 4pm. We may record or monitor our phone calls.",
Next steps for mental health,"Please call us on [0345 600 5446](phone://03456005446).

We’ll listen to how you’re feeling and advise you on next steps, such as a phone consultation with a mental health specialist.

We’re available Monday to Friday 8am to 8pm, Saturday 8am to 4pm. We may record or monitor our phone calls.",
Next steps for moles or skin lesions,"Please call us on [0345 600 4534](phone://03456004534).

We’ll talk through your symptoms and advise you on next steps 

If you're over 18, we may suggest a remote skin assessment. This includes sending a kit to your home to check your moles and for skin cancer. 

We’re available Monday to Friday 8am to 8pm, Saturday 8am to 4pm. We may record or monitor our phone calls.
",
How do I request more treatment?,"You’ll need to get a new pre-authorisation code.

This is so we can check how much more you’re covered for.

### Follow these steps: ###
1. Choose ‘Pre-authorisations’ on your My Bupa home screen. 
2. Where it says ‘Do I need a pre-auth’, there’s the option to request treatment.
3. Complete the request form and we'll email you within 24 hours. You'll get a pre-authorisation number or we'll explain why you're not covered.",
Can I book an ADHD or autism assessment?,"You’ll need to check your guide to see if you’re covered first.

1. Go to your My Bupa home screen and scroll down. Next, choose ‘Documents’. 
2. From here, you can view or download your guide which includes a benefit table. 
3. Look for ‘assessments of neurological conditions’ in the table, which covers ADHD and autism.
4. If you’re covered, please book a GP appointment to get a referral for an assessment with a specialist.",
Can I book a general health check?,"If you’d like to book a health check, these are bought separately.  

We call our checks health assessments. The easiest way to compare options and book, is on [our website](https://www.bupa.co.uk/health/health-assessments). 

### Get Bupa cover with work? ###
Your employer may have bought a health assessment for you. Please ask them for more details.",
What does pre-authorisation mean?,"When we say pre-authorisation, we mean approval to go ahead with certain tests, consultations or treatment. For example, blood tests, physio, counselling and surgery. 
 
When these happen without pre-authorisation, you may need to pay the full cost. 

### You don’t need a pre-auth for: ###
- Digital GP appointments
- Prescribed medication
- Fit notes",
